Id;Entidad;Ultima_Actualizacion;Domicilio;Localidad;Objeto_Social;Seccionales;CP;Telefono;e_mail;Página_web;Fecha_de_fundacion;Inscripcion DGPJ;Inscripcion_DGPJ(2);Decreto;Nºde_Expediente;Registro_Municipal;Exencion;ayuda_desarrollo_social_al_31/12/2015;Bajas;Suspendidas;Contacto;Anio_de_actualización;Cierre_de_ejercicio_según_estatuto;Cuenta_con_Bienes;Actualizadas;Desactualizadas;Certificados_Retirados;Archivado
82;ASOCIACION PRO REHABILITACION INFANTIL LA PLATA ( A.P.R.I.L.P.);01/01/2011;43 Nº 626 / PLAZA ITALIA N° 66;C. URBANO NORTE;Capacidades diferentes (motora);2;1900;421-9161;aprilpdepie@yahoo.com.ar;;septiembre 11 de 1959;;L: 6345 / M: 888;14613/81;;105;SI;SI;;;BOLECH CECILIA  TEL: 482-4633 / 422-6028;2010-2011;30 de junio;X;;X;2011;
83;SOCIEDAD PROTECTORA DE LA INFANCIA ( BIBLIOTECA ANA BLASCO DE SELVA );01/01/2004;12 N° 566;C. URBANO NORTE;Asistencia Infancia y Adolescencia;2;1900;421-3554;;;septiembre 23 de 1904;;L: 1409 / M: 3476;13554/80;;106;;;;;LORENZA PEREZ TEL: 422-1280;2004;31 de diciembre;X;;X;;ARCHIVADA
84;CASA DEL CANILLITA;;;;;;;;;;;;;Dto. de baja 1178/84;;107;;;x;;;;;;;;;
85;CENTRO DE FOMENTO MANUEL ALBERTI;01/01/2012;27 N° 275 E/ 37 Y 38;C. URBANO ESTE;Promoción y Fomento;4;1900;;;;marzo 14 de 1990;;L: 8663 / M: 9572;Decreto de Reinscripción 1427/08;31020/08;108;SI;;;;JORGE ALBERTO MARTIN TEL: 479-2698 TESORERA OLGA E. LAUCHE;2011-2012;30 de noviembre;X;;X;;ARCHIVADA
86;CLUB CULTURAL DEPORTIVO Y DE FOMENTO ALMAGRO ( BIBLIOTECA GRAL. JOSE DE SAN MARTIN );01/01/2017;80 E/ 121 Y 122;VILLA ELVIRA;Deportes en general;8;1900;;;;julio 3 de 1953;;L: 8215 / M: 7517;927/97;;109;;;;;LE MOAL LUIS TEL: 486-3483;2017;31 de diciembre;X;;X;;
87;ASOCIACION DE FOMENTO Y BIBLIOTECA FLORENTINO AMEGHINO;01/01/1990;69 Nº 166 E/ 116 Y 117;C. URBANO SUR;Promoción y Fomento;9;1900;;;;agosto 30 de 1955;;L: 6897 / M: 593;127/91;;110;;;;;FIORI RUBEN;1990;30 de abril;X;;X;;ARCHIVADA
88;CENTRO DE FOMENTO SOCIAL CULTURAL Y DEPORTIVO  28 DE OCTUBRE;01/01/2008;78 BIS E/ 13 Y 14;SAN LORENZO;Equipamiento e Infraestructura;8;1900;;;;octubre 28 de 1951;;L: 8212 / M: 3783;13554/80;;111;;;;;ZALEWSKY OSCAR TEL: 15-5244938;2007-2008;30 de junio;X;;X;;ARCHIVADA
89;ASOCIACION DE SORDOMUDOS LA PLATA;01/01/2009;8 N° 526 E/ 42 Y 43;C. URBANO NORTE;Capacidades diferentes (hipoacúsicos);2;1900;422-6657;sordos_aslp@hotmail.com / aslp-laplata@starmedia.com;;19 de Abril 1941;;L: 8512 / M: 971;13554/80;;114;SI;;;;MIGUEL HERNANDO (CLAUDIA TRADUCTORA 15-4888301) LOPERFIDO JULIO (SECRETARIO) 422-6657;2008-2009;30 de junio;X;;X;;ARCHIVADA
90;LIGA AMATEUR PLATENSE DE FUTBOL;01/01/2005;6 N° 1370 E/  60 Y 61;C. URBANO SUR;Fútbol;9;1900;424-8808;dirigencia@lapfutbol.com;;21 de Abril 1913;;L: 1519 / M: 2684;33/83;;116;SI;;;;DANIEL RUBEN COSTOYA TEL: 421-4993;2005;31 de diciembre;X;;X;;ARCHIVADA
91;ASOCIACION PRO REHABILITACION INTEGRAL DEL NIÑO SORDOMUDO ( APRIDENS );;LINCOLN 3665;C. FEDERAL;;;;;;;;;;Dto. de baja 17746/83;;117;;;x;;;;;;;;;ARCHIVADA
92;PATRONATO DEL ENFERMO DE LEPRA DE LA PLATA;01/01/2008;1 N° 744 ESQ. 47 / 22 N° 29;C. URBANO NORTE;Asistencia y Prevención;1;1900;483-3879;;;Noviembre 26 de 1930;;L: 13480 / M: 8318;13554/80;;120;;;;;MARIA.A.FERNANDEZ.O. DE BERRIDI;2008;31 de diciembre;X;;X;;ARCHIVADA
93;CLUB DE LEONES DE LA PLATA;01/01/2007;67 N° 1408 E/ 23 Y 24;C. URBANO SUR;Servicios;5;1900;451-9940 / FAX : 424-9316;;;octubre 22 de 1960;;L: 11507 / M: 4623;;;121;;;;;PRESIDENTE: SANTIAGO PAOLI                   CELIA I. MORENO  Tel: 482 -1278;2006-2007;30 de junio;;;X;;ARCHIVADA
94;CLUB ATLETICO CULTURAL Y DE FOMENTO CITY BELL Y BIBLIOTECA FLORENTINO AMEGHINO;01/01/2018;CANTILO Y JORGE BELL;CITY BELL;Promoción y Fomento;10;1896;480-0212;bibliofameghino@yahoo.com.ar;;noviembre 1 de 1926;;L: 5236 / M: 3227;13554/80;;122;SI;;;;Juan Ignacio De Bodt 221-5648608 - Virginia Gonzalez Ramela 221-5585007;2018;31 de agosto;X;X;;2011;
95;SOCIEDAD COSMOPOLITA;;;;;;;;;;;;;Dto. de baja 1278/84;;123;;;x;;;;;;;;;
96;ASOCIACION DE JUBILADOS Y PENSIONADOS DE LA PROVINCIA DE BUENOS AIRES;01/01/2005;47 N° 984;C. URBANO ESTE;Mutualidad;1;1900;421-5447;;;diciembre 18 de 1931;;L: 1558 / M: 141;17685/83;;124;;;;;FOLEGOTTO ISABEL;2004-2005;31 de agosto;X;;X;;ARCHIVADA
97;CIRCULO OFICIALES DE MAR;01/01/1995;44 N° 368;C. URBANO NORTE;Mutualidad;1;1900;;;;febrero 1 de 1905;;L: 1445;19179/83;;125;;;;;MARIANO ALBERTO PEREYRA;1995-1996;31 de julio;X;;X;;ARCHIVADA
98;SINDICATO DE OBREROS INDUSTRIA DE VESTIDO Y AFINES;;60 Nº 524 E/ 5 Y 6;C. URBANO SUR;;9;1900;;;;;;;Dto. de baja 11951/99;;126;;;x;;;;;;;;;ARCHIVADA
99;CLUB DEPORTIVO LA PLATA Y BIBLIOTECA POPULAR DARDO ROCHA;01/01/2018;71 N° 331  E/ 1 Y 2;C. URBANO SUR;Deportes en general;9;1900;421-2008;clubdeportivolaplata@gmail.com;;julio 14 de 1927;;L: 3139 / M: 2146;14445/81;;128;;;;;FERNANDEZ MARCELA 15 4358896  SECRETARIO MONTICELLI JANO 424-9964;2018;31 de diciembre;X;X;;2019;
100;SOCIEDAD DE SOCORROS MUTUOS DE POLICIA;01/01/2018;59 N° 584 E/ 6 Y 7;C. URBANO SUR;Mutualidad;9;1900;421-5283;ssmp_ba@yahoo.com.ar;;septiembre 29 de 1894;;L: 89976 / M: 18113;13554/80;;129;;;;;crisconio roberto (Pte)- 4210779;2018;31 de agosto;X;X;;2011;
101;CLUB DE MADRES ESCUELA Nº 38;;RIVADAVIA Y BELGICA;CITY BELL;;10;1896;;;;;;; Dto. de baja 769/03;;130;;;x;;;;;;;;;ARCHIVADA
102;SOCIEDAD PROTECCION A LA MUJER SOPA DEL NIÑO;01/01/2001;69 N° 347;C. URBANO SUR;Asistencia Infancia y Adolescencia;9;1900;;;;noviembre 10 de 1905;;L: 1418 / M: 2399;18228/83;;131;;;;;ELVIRA C. DE LABOURDETTE TEL: 451-1531;2000-2001;31 de julio;X;;X;;ARCHIVADA
103;CONSEJO DE RECUPERACION DEL INCAPACITADO CARDIACO (C.O.R.D.I.C.);01/01/2014;13 N° 827 2º PISO OFIC. 25                                         Enviar correspondencia a: 51 N° 723 Colegio de Medicos;C. URBANO ESTE;Asistencia y Prevención;1;1900;421-1598;;;septiembre 26 de 1963;;L: 8801 / M: 3128;13554/80;;132;;;;;ARMANDO ZINGONI 482-4358---- 421-1598;2014;31 de diciembre;X;X;;;
104;ASOCIACION PLATENSE DE BASQUETBOL;;48 Nº 633 7º PISO OF 710;C. URBANO NORTE;;1;1900;;;;;;;Disp. N° 4/01;;133;;;;x;;;;;;;;ARCHIVADA
105;FEDERACION BIOQUIMICA DE LA PROVINCIA DE BUENOS AIRES;01/01/1996;6 N° 1344 E/ 59 Y 60;C. URBANO SUR;Profesiones y Oficios;9;1900;423-3597/423-0252;;;diciembre 10 de 1960;;L: 8675 / M: 116;16566/82;;134;;;;;CABUTTI NORBERTO;1996-1997;31 de marzo;X;;X;;ARCHIVADA
106;PARROQUIA SAN JUAN BAUTISTA;;520 Y 141;SAN CARLOS;;;1900;;;;;;;Dto. de baja 17746/83;;135;;;x;;;;;;;;;ARCHIVADA
107;SAN ANTONIO DE PADUA;;;;;;;;;;;;;Dto. de baja 17746/83;;136;;;x;;;;;;;;;
108;INSTITUCION TEATINA;01/01/1998;44 E/ 29 Y 30;C. URBANO ESTE;Aprendizaje y Educación;4;1900;479-3081;;;;09/10/1998;L: 4696 / M: 122;15071/81;;137;SI;;;;ANDRES SERVERA;1998-1999;31 de enero;X;;X;;ARCHIVADA
109;ASOCIACION COOPERADORA DE LA ESCUELA DIFERENCIADA Nº 528;01/01/1980;DIAG. 77 N° 138 E/ 2 Y 3;C. URBANO NORTE;Cooperación (Educación);1;1900;;;;;;;15716/81;;138;;;;;;1980-1981;;;;X;;ARCHIVADA
110;SOCIEDAD DAMAS PROVIDENCIA;;DIAG. 73 Nº 2115 E/ 16 Y 17;C. URBANO SUR;;;1900;;;;;;;Dto. de baja 17746/83;;139;;;x;;;;;;;;;
111;CLUB DE MADRES JARDIN INFANTES Nº 8;;63 Nº 1338 E/ 21 Y 22;C. URBANO SUR;;5;1900;;;;;;;Dto. de baja 1662/03;;140;;;x;;;;;;;;;
112;ASOCIACION CULTURAL SERVITAS;;DIAG. 80 N° 157 E/ 118 Y 119;C. URBANO NORTE;;2;1900;;;;;;;Disp. N° 4/01;;141;;;;x;;;;;;;;ARCHIVADA
113;ASOCIACION COOPERADORA ESCUELA FRAGATA ARGENTINA;;36 E/ 120 Y 121;C. URBANO NORTE;;2;1900;;;;;;;Dto. de baja 1953/99;;142;;;x;;;;;;;;;ARCHIVADA
114;SOCIEDAD DE OBSTETRICIA Y GINECOLOGIA DE LA PLATA;;50 Nº 374 E/ 2 Y 3;C. URBANO NORTE;;1;1900;;;;;;;Disp. N° 4/01;;143;;;;x;;;;;;;;ARCHIVADA
115;SANTA MARIA JOSEFA ROSELLE - PATRONATO;;44 Nº 588 E/ 6 Y 7;C. URBANO NORTE;;1;;;;;;;;Disp. N° 4/01;;144;;;;x;;;;;;;;ARCHIVADA
116;COLEGIO NUESTRA SEÑORA DE LOURDES;;38 Nº 1247 E/ 19 Y 20;C. URBANO ESTE;;2;1900;;;;;;;Disp. N° 4/01;;145;;;;x;;;;;;;;
117;SOCIEDAD HERMANAS HIJAS DE LA CARIDAD CANOSSIANAS;01/01/2002;149 E/ 62 Y 64 S/N;LOS HORNOS;Asistencia y Caridad;3;1941;450-6763;;;octubre 5 de 1943;;L: 3350 / M: 3951;Dto. de Baja Nº 433/09;;146;;;;;ANA MARIA BABBINI;2002;31 de diciembre;X;;;;ARCHIVADA
118;SOCIEDAD FRANCESA DE BENEFICENCIA;01/01/2018;7 Nº 1615 E/ 65 Y 66;C. URBANO SUR;Asistencia Ancianidad;9;1900;;corti58@ciudad.com.ar;;julio 14 de 1908;;L: 1343 / M: 2817;13554/80;;147;SI;;;;RAMIREZ VIRGINIA;2018;30 de noviembre;X;X;;;
119;OBRA ANTONIO PROVOLO;01/01/2016;47 N° 1504 ESQ. 25;C. URBANO ESTE;Capacidades diferentes (hipoacúsicos);4;1900;479-9868/ 479-4539;;;agosto 15 de 1958;;L: 6626 / M: 3846;14448/81;;148;SI;;;;CHAMORRO GUSTAVO A. <<<<8CONTACTO ELISEO 479-9868 INT 101;2015-2016;31 de marzo;X;X;;2010;
120;ASOCIACION AMIGOS DEL JARDIN DE LA PAZ;01/01/2001;PASEO DEL BOSQUE AVDA. IRAOLA Y OBSERVATORIO / DIAG. 113 N° 586;C. URBANO SUR;Promoción y Fomento;9;1900;457-0306;marthaedel@infovia.com.ar / bease@sinectis.com.ar;;;;L: 10601 / M: 795;16045/82;;149;;;;;BUSTAMANTE NELIDA TEL: 482-5409;normalización 2001 ( presentaron convocatoria de asamblea para el jueves 29 de septiembre de 2005 );31 de octubre;;;X;;ARCHIVADA
121;COLEGIO SANTA LUCIA;;5 E/ 522 Y 523;TOLOSA;;6;1906;;;;;;;Disp. N° 4/01;;150;;;;x;;;;;;;;ARCHIVADA
122;HERMANITAS DE LOS POBRES HOGAR DE ANCIANOS ANDREA IBAÑEZ DE MARIN;01/01/1997;60 N° 974 E/ 14 Y 15;C. URBANO SUR;Asistencia Ancianidad;9;1900;;;;año 1907;;L: 10726 / M: 18263;13075/80;;151;;;;;MOLINA CASTILLO ANTONIA;1997;31 de diciembre;X;;X;;ARCHIVADA
123;SOC. SS.MM. P. DE NAPOLI;;;;;;;;;;;;;Dto. de baja 1280/84;;152;;;x;;;;;;;;;
124;CLUB VICTORIA;01/01/2003;26 N° 752;C. URBANO ESTE;Asistencia y Caridad;4;1900;479-0868 / FAX : 479-1719;;;marzo 3 de 1924;;;15210/81;;153;SI;;;;ESTELA VEGA GARCIA;2003 ( resta presentar aprobación de memoria y balance );31 de diciembre;X;;X;;ARCHIVADA
125;ASOCIACION DE MAESTROS DE LA PROVINCIA DE BUENOS AIRES;01/01/2004;60 N° 844 E/ 11 Y 12;C. URBANO SUR;Aprendizaje y Educación;9;1900;451-6246;asociaciondemaestos@yahoo.com.ar;;diciembre 25 de 1900;;L: 1451 / M: 286;1439/84;;155;SI;;;;DORA N. IGLESIAS DE ROMAGNOLI;2004;;;;X;;ARCHIVADA
126;TIRO FEDERAL ARGENTINO DE LA PLATA;01/01/1994;AV.DEL PETROLEO;BERISSO;DEPORTE;;1923;;;;;;;15672/81;;156;;;;;;1994-1995;;;;X;;ARCHIVADA
127;CAPILLA DE LA SANTA CRUZ;;601 E/ 7 Y 8;VILLA ELVIRA;;8;1900;;;;;;;Dto. de baja 17746/83;;157;;;x;;;;;;;;;ARCHIVADA
128;SOCIEDAD ARGENTINA DE ESCRITORES DE LA PLATA;;11 N° 304 E/ 38 Y 39;C. URBANO NORTE;;1;1900;422-2616;;;;;;Disp. N° 4/01;;158;;;;x;JOSE MARIA CUENCA TEL: 480-1160;;;;;;;ARCHIVADA
129;COMISION COOPERADORA  CASA DEL NIÑO GENERAL BELGRANO;;13 E/ 49 Y 50;C. URBANO NORTE;;1;1900;;;;;;;Disp. N° 5/01;;159;;;x;;;;;;;;;ARCHIVADA
130;INSTITUTO DE LA SAGRADA FAMILIA DE NAZARETH;01/01/2010;61 N° 1635 E/ 27 Y 28;C. URBANO SUR;Asistencia y Caridad;5;1900;451-2345;info@hermanasnazarenas.org.ar;;5 de Abril 1905;;;13554/80;;160;;;;;VICTORIA. N. PASTUCHIK TEL: 453-1071 (MADRE LIDIA);2009-2010;30 de junio;X;X;;;ARCHIVADA
131;PARROQUIA DE LA MEDALLA MILAGROSA;;75 N° 582 E/ 6 Y 7;VILLA ELVIRA;;8;1900;452-1968;;;;;;Dto. de baja 17746/83;;162;;;x;;;;;;;;;ARCHIVADA
132;MOVIMIENTO FAMILIAR CRISTIANO;;15 Y 54;C. URBANO SUR;;1;1900;451-7140;;;;;; Dto. de baja 1662/03;;163;;;x;;LUIS TOCACELLI TEL: 453-8906;;;;;;;ARCHIVADA
133;COLEGIO SAN LUIS;;44 Nº 720;C. URBANO NORTE;;1;1900;421-8203;;;;;;Disp. N° 4/01;;164;;;;x;;;;;;;;ARCHIVADA
134;COLEGIO NUESTRA SRA. DEL CARMEN;;115 E/ 530 Y 531;TOLOSA;;6;1906;422 6220;;;;;;Dto. de baja 17746/83;;165;;;x;;;;;;;;;ARCHIVADA
135;NOVICIADO SAN VICENTE DE PAUL;;15 E/ 54 Y 55;VILLA ELISA;;12;1894;;;;;;;Dto. de baja 17746/83;;166;;;x;;;;;;;;;ARCHIVADA
136;CLUB HIPICO Y DE GOLF CITY BELL;01/01/1996;LABOUGLE Y 10;CITY BELL;Equitación y Golf;10;1896;480-0169;;;mayo 9 de 1944;;L: 3572 / M: 2265;17559/83;;167;;;;;BLANCO GUSTAVO A.;1996;31 de diciembre;X;;X;;ARCHIVADA
137;ASOCIACION COOPERADORA UNIDAD SANITARIA Nº 5 DE CITY BELL;;19 Y 13;CITY BELL;;10;1896;480-0263;;;;;;Disp. N° 6/01;;168;;;x;;;;;;;;;ARCHIVADA
138;COLEGIO SANTA MARIA DE LOS ANGELES;;81 Y 8 BIS;VILLA ELVIRA;;8;1900;;;;;;;Dto. de baja 17746/83;;169;;;x;;;;;;;;;ARCHIVADA
139;SOCIEDAD COSMOPOLITA DE SOCORROS MUTUOS LA FRATERNAL;01/01/2018;49 E/ 16 Y 17  ( ARANA E/ 10 Y 11 );VILLA ELISA;Servicios;12;1894;;;;octubre 5 de 1902;;;;;170;;;;;DIAZ NORBERTO TEL: 15- 5858144/ 487-1119;2018;31 de agosto;X;;X;;ARCHIVADA
140;ASOCIACION COOPERADORA ESCUELA Nº 62 REPUBLICA DE CHILE;01/01/1995;131 E/ 77 Y 78;SAN LORENZO;Cooperación (Educación);5;1900;451-6752;;;;;;13184/80;;171;;;;;LANDETCHEVERRY JUANA;1995-1996;;;;X;;ARCHIVADA
141;BIBLIOTECA MUSICAL VERDI;;4 Nº 672 E/ 45 Y 46;C. URBANO NORTE;;1;1900;;;;;;;Disp. N° 4/01;;173;;;;x;;;;;;;;ARCHIVADA
142;LA PROTECTORA SOCIEDAD DE SOCORROS MUTUOS Y ACTIVIDADES SOCIALES Y CULTURALES;01/01/2015;49 N° 674;C. URBANO NORTE;Mutualidad;1;1900;483-6990 / 424-1223;laprotectorassm@hotmail.com;;;;L: 87005 / M: 16654;13554/80;;174;;;;;SARCABAL GUILLERMO 4241048 ----- 424-1223;2014-2015 EL 15/4 PTARON PEDIDO DE CERTIF VIGENCIA EN LA DPPJ;31 de mayo;X;X;;2011;
143;UNION  PERSONAL CIVIL DE LA NACION ( U.P.C.N.) ( ver legajo 608 );;50 Nº 905;C. URBANO ESTE;;1;1900;;;;;;;Duplicado Legajo 608 Disp. N° 8/01;;175;;;x;;;;;;;;;
144;ESCUELA C. NAMUNCURA;;;;;;;;;;;;;Dto. de baja 17746/83;;176;;;x;;;;;;;;;ARCHIVADA
145;PARROQUIA SAN BENJAMIN;;57 Y 140;LOS HORNOS;;3;1941;;;;;;;Dto. de baja 17746/83;;177;;;x;;;;;;;;;ARCHIVADA
146;ASOCIACION COOPERADORA JARDIN DE INFANTES Nº 911;01/01/1996;4 E/ 10 Y 11;CITY BELL;Cooperación (Educación);10;1896;480-1846;;;;;;15401/81;;179;;;;;DURO LUISA;1996-1997;;;;X;;ARCHIVADA
147;CENTRO DE INGENIEROS DE LA PROVINCIA DE BUENOS AIRES;01/01/2019;53 Nº 416 1/2 E/ 3 Y 4;C. URBANO SUR;Profesiones y Oficios;1;1900;421-8232;cipba@cipba-lp.org.ar;;agosto 1 de 1928;;L: 1552 / M: 79;15079/81;;180;SI;;;;ROCCA RODOLFO 460-2347;2019;31 de octubre;X;X;;2011;
148;SOCIEDAD PROTECTORA DE NIÑOS ( HOGAR MATERNAL N° 1 );01/01/2010;3 N° 624;C. URBANO NORTE;Asistencia Infancia y Adolescencia;1;1900;425-2699;hogarmaternal1@hotmail.com;;16 de Abril 1889;;L: 1347 / M: 2335;13554/80;;181;SI;SI;;;ELBA LAMBERT DE TITTARELLI TEL: 483-3765;2010;31 de diciembre;X;X;;;ARCHIVADA
149;ASOCIACION COOPERADORA ESCUELA Nº 68 JUAN H. VIEYTES;01/01/1983;CNO BELGRANO Y MARIANO MORENO;CITY BELL;Cooperación (Educación);10;1896;;;;octubre 1 de 1966;;;16583/82;;182;;;;;;1983-1984;;;;X;;ARCHIVADA
150;"ASOCIACION COOPERADORA DE LA ESCUELA NACIONAL DE EDUCACION TECNICA Nº 7 "" LAURA ROSENDE MITRE DE MENDONCA""";01/01/2014;42 N° 678;C. URBANO NORTE;Cooperación (Educación);2;1900;421-0215 / 421-1004;;;;;;15885/82;;183;;;;;IBAÑEZ HORACIO;2013-2014;30 de junio;;X;;;ARCHIVADA
151;PARROQUIA SAN PONCIANO;;5 Nº 776;C. URBANO NORTE;;1;1900;;;;;;;Dto. de baja 17746/83;;184;;;x;;;;;;;;;ARCHIVADA
152;ASOCIACION PRO-AMPARO Y DEFENSA DEL ANIMAL ( A.P.A.D.A. );01/01/1995;50 Nº 1103 / 7 N° 755 TOLOSA;C. URBANO ESTE;Vida Animal;1;1900;;;;;;L: 8196 / M: 1613;14841/81;;185;;;;;NELLY BARRIOS TEL: 451-4954;1995-1996;;;;X;;ARCHIVADA
153;FED. DE CIRC. CATOLICOS;;;;;;;;;;;;;Dto. de baja 1278/84;;186;;;x;;;;;;;;;
154;ASOCIACION MUTUALISTA DE EMPLEADOS DEL MINISTERIO DE OBRAS PUBLICAS ( A.M.E.M.O.P. );01/01/2018;53 N° 767 E/ 10 Y 11;C. URBANO SUR;Mutualidad;1;1900;424-6556/483-9269;amemop@netverk.com.ar;;julio 15 de 1935;;L: 3586 / M: 114;16630/82;;187;SI;;;;FERNANDO BOZZARELLI TEL: 451-3454;2018;31 de diciembre;X;X;;;
155;CRUZ ROJA ARGENTINA FILIAL LA PLATA;01/01/2002;3 Y  44;C. URBANO NORTE;Emergencias, Catástrofes y Prevención;1;1900;483-5521;;;julio 1 de 1942;;;14239/81;;188;;;;;MIGUEL ANGEL DE URRAZA TEL: 154-819764 / 483-8073;2001-2002;;X;;X;;ARCHIVADA
156;ASOCIACION AMIGOS ANCIANIDAD;;DIAG. 73 Nº 1568 E/ 11 Y 12;C. URBANO SUR;;;1900;;;;;;;Dto. de baja 17746/83;;189;;;x;;;;;;;;;ARCHIVADA
157;SOCIEDAD ARGENTINA DE PEDIATRIA DE LA PLATA;01/01/1998;14 Nº 1631 E/ 65 Y 66;C. URBANO SUR;Especialidades Médicas;9;1900;451-1403;;;diciembre 29 de 1937;;;16631/82;;190;;;;;MIGUEL ANGEL ESTEBAN;1998;31 de diciembre;;;X;;ARCHIVADA
158;ASOCIACION COOPERADORA  ESCUELA Nº 25;;13 E/ 511 Y 512;RINGUELET;;6;1901;;;;;;;Disp. N° 4/01;;191;;;;x;;;;;;;;ARCHIVADA
159;ASOCIACION COOPERADORA ESCUELA Nº 509 DR. CARLOS COMETTO;01/01/1996;14 E/ 65 Y 66 (HTAL DE NIÑOS);C. URBANO SUR;Cooperación (Educación);9;1900;453-5901;;;mayo 25 de 1958;;;15716/81;;192;;;;;ETHEL PALOSCHI;1996-1997;;;;X;;ARCHIVADA
160;ASOCIACION HIJAS DE SAN PABLO;;49 Nº 744 E/ 9 Y 10;C. URBANO NORTE;;1;1900;;;;;;;Disp. N° 4/01;;193;;;;x;;;;;;;;ARCHIVADA
161;ASOCIACION COOPERADORA JARDIN DE INFANTES Nº 917;;54 N° 1236 E/  19 Y 20;C. URBANO SUR;;5;1900;451-5595;;;;;; Dto. de baja 1662/03;;194;;;x;;;;;;;;;ARCHIVADA
162;HERMANAS MISIONERAS CATEQUISTAS DE HOGAR CRISTO REY;01/01/2015;38 N° 1375 E/ 22 Y 23;C. URBANO ESTE;Asistencia Infancia y Adolescencia;4;1900;421-3649;;;septiembre 24 de 1928;;;16451/82;;195;;;;;HNA. MARIA. S. ROJAS 421-3649 BLANCA VERA ARRIOLA;2015;31 de diciembre;X;X;;;
163;SINDICATO UNICO DE TRABAJADORES DEL ESPECTACULO PUBLICO;;43 N° 1033 E/ 15 Y 16;C. URBANO ESTE;;2;1900;;;;;;;Disp. N° 4/01;;196;;;;x;;;;;;;;ARCHIVADA
164;CENTRO UNIVERSITARIO FLORENSE ( C.U.F. );01/01/2011;12 Nº 1242 / 5 N° 1680;C. URBANO SUR;Asistencia Estudiantil;9;1900;424-4801 / 424-0074;cuf_libertaddeprensa@hotmail.com.ar;;octubre 27 de 1956;;L: 11356 / M: 1514;19072/83;;197;;;;;;2010-2011;28 de febrero;X;X;;2011;ARCHIVADA
165;ASOCIACION COOPERADORA HOSPITAL ZONAL ESPECIALIZADO DR. NOEL H. SBARRA;01/01/2018;8 N° 1689;C. URBANO SUR;Cooperación (Salud);9;1900;451-3310/457-3497 int 136;;;julio 15 de 1968;;L: 31272 / M: 3627;866/84;;198;;;;;RODOLFO ALEJANDRO ALIATA TEL: 483-5398;2018;31 de julio;;X;;;
166;ASOCIACION COOPERADORA HOSPITAL DE NIÑOS DE LA PLATA SOR MARIA LUDOVICA;01/01/2013;61 Nº 919 E/ 13 Y 14;C. URBANO SUR;Cooperación (Salud);9;1900;453-1695;coophospitaldeninos@netverk.com.ar;;febrero 2 de 1961;02/12/1993;L: 68099 / M: 12910;14863/81;;199;SI;;;;ABEL RICARDO SOSA;2012-2013;28 de febrero;X;;X;;ARCHIVADA
167;CONGREGACION HIJAS DE NUESTRA SEÑORA DE LUJAN;01/01/2017;74 Nº 384 E/ 2 Y 3;VILLA ELVIRA;Aprendizaje y Educación;8;1900;453-2606;hijasdelujan@hotmail.com;;diciembre 28 de 1929;;L: 3348 / M: 1082;15074/81;;200;SI;;;;ANGELICA FERNANDEZ;2017;31 de diciembre;X;X;;;
168;CONGREGACION HIJAS DE MARIA;;11 Nº 675 E/ 45 Y 46;C. URBANO NORTE;;1;1900;;;;;;;Disp. N° 4/01;;201;;;;x;;;;;;;;
169;INSTITUTO MARIA AUXILIADORA ( BIBLIOTECA JOSE MANUEL ESTRADA );01/01/2008;54 N° 896 ESQ.13;C. URBANO SUR;Aprendizaje y Educación;1;1900;482-3455 / 421-7813 / 422-9714 (FAX);;;Año 1898;;;13554/80;;202;;;;;KOMAR ANA MARIA;2008;31 de diciembre;X;;X;;ARCHIVADA
170;HOGAR SAN PATRICIO;01/01/2010;8 ( EX 15 ) Y 54;VILLA ELISA;Asistencia Ancianidad;12;1894;487-0231/ 011-49518480;hogarsanpatricio@hotmail.com;;octubre 2 de 1939;;;16391/82;;203;;;;;DELIA ELENA GARRAHAN;2009-2010;31 de marzo;X;;X;;ARCHIVADA
171;ASOCIACION COOPERADORA ESCUELA Nº 515 PARA CIEGOS Y DISMINUIDOS VISUALES;01/01/2003;495 E/ 14 Y 14 BIS;GONNET;Cooperación (Educación);13;1897;TEL / FAX: 484-0515;;;junio 9 de 1951;;;15284/81;;204;;;;;SAVOIA ANA MARIA;2002-2003;30 de abril;;;X;;ARCHIVADA
172;SOCIEDAD PRO-CIEGOS LUIS BRAILLE;01/01/2011;12 N° 613;C. URBANO NORTE;Capacidades Diferentes (visual);1;1900; TEL / FAX: 424-2038;brailelp@uolsinectis.com.ar;;diciembre 8 de 1940;;L: 9685 / M: 411;13554/80;;205;;;;;OCTAVIO ORLANDO ROLDAN TEL: 425-8631;2010-2011;30 DE SETIEMBRE;X;;X;;ARCHIVADA
173;ASOCIACION COOPERADORA HOSPITAL SUBZONAL ELINA DE LA SERNA ( EX CASA DEL NIÑO );01/01/2004;8 N° 483;C. URBANO NORTE;Cooperación (Salud);2;1900;;;;enero 26 de 1961;;L: 84001 / M: 16376;13554/80;;206;;;;;LUIS JORGE BERRI;2004 ( deberá presentar reforma del estatuto social por cambio de denominación )/2005 falta en el balance firma de los Revisores de ctas.;31 de diciembre;;;X;;ARCHIVADA
